TRADE_DT,EXPIRY,SKEW
2026-06-01,2026-06-22,-0.033968865868064135
2026-06-01,2026-07-17,-0.02166532881915953
2026-06-01,2026-08-21,-0.08572693912109242
2026-06-01,2026-09-18,0.007819616386986805
2026-06-01,2026-12-18,-0.004392848057911014
2026-06-01,2027-03-19,-0.05404138429199694
2026-06-02,2026-06-22,-0.033423055819861824
2026-06-02,2026-07-17,-0.049147729178385516
2026-06-02,2026-08-21,-0.1431126610535039
2026-06-02,2026-09-18,0.006036081559249951
2026-06-02,2026-12-18,-0.0076248740449695734
2026-06-02,2027-03-19,-0.06388344189658351
2026-06-03,2026-06-22,-0.09874936355329123
2026-06-03,2026-07-17,-0.11349284409810038
2026-06-03,2026-08-21,-0.3119437775081306
2026-06-03,2026-09-18,-0.0318998509969437
2026-06-03,2026-12-18,-0.01713941145928849
2026-06-03,2027-03-19,-0.1065924560376338
2026-06-04,2026-06-22,-0.11006135518231108
2026-06-04,2026-07-17,-0.12172639911520726
2026-06-04,2026-08-21,-0.30410883762598073
2026-06-04,2026-09-18,-0.028978258442664107
2026-06-04,2026-12-18,-0.017278399889472648
2026-06-04,2027-03-19,-0.11950315454098422
2026-06-05,2026-06-22,-0.0766342357458294
2026-06-05,2026-07-17,-0.11453706822787518
2026-06-05,2026-08-21,-0.2929662912851756
2026-06-05,2026-09-18,-0.0059988110771780345
2026-06-05,2026-12-18,0.0075526022134986825
2026-06-05,2027-03-19,-0.11575148711600068
2026-06-08,2026-06-22,0.0007653356958294832
2026-06-08,2026-07-17,-0.16509181318376354
2026-06-08,2026-08-21,-0.20795472493036268
2026-06-08,2026-09-18,-0.015173030144072175
2026-06-08,2026-12-18,0.01641262712025726
2026-06-08,2027-03-19,-0.10516933604935477
2026-06-09,2026-06-22,-0.06217964770738238
2026-06-09,2026-07-17,-0.20232136792791383
2026-06-09,2026-08-21,-0.33099999929220947
2026-06-09,2026-09-18,-0.026025168194724446
2026-06-09,2026-12-18,0.015231109073293836
2026-06-09,2027-03-19,-0.16793566636803547
2026-06-10,2026-06-22,-0.05454757215117767
2026-06-10,2026-07-17,-0.21816199878708237
2026-06-10,2026-08-21,-0.29597846539332473
2026-06-10,2026-09-18,-0.026254713614933256
2026-06-10,2026-12-18,0.007596715744500063
2026-06-10,2027-03-19,-0.16809240211389703
2026-06-11,2026-06-22,-0.03888296055876994
2026-06-11,2026-07-17,-0.20431736073440415
2026-06-11,2026-08-21,-0.30802433731845325
2026-06-11,2026-09-18,-0.016595151978099687
2026-06-11,2026-12-18,0.009602917798585069
2026-06-11,2027-03-19,-0.17283231213236974
2026-06-12,2026-06-22,-0.07728055945780188
2026-06-12,2026-07-17,-0.14224536282288708
2026-06-12,2026-08-21,-0.17297106563968612
2026-06-12,2026-09-18,-0.012403763210418695
2026-06-12,2026-12-18,0.007605842275425656
2026-06-12,2027-03-19,-0.11058268416916922
2026-06-15,2026-06-22,-0.2236403363731294
2026-06-15,2026-07-17,-0.13200280915284934
2026-06-15,2026-08-21,0.45942853243881693
2026-06-15,2026-09-18,-0.030356091018928666
2026-06-15,2026-12-18,-0.012740118328047223
2026-06-15,2027-03-19,1.6472050727926386
2026-06-16,2026-06-22,-0.4525013033981511
2026-06-16,2026-07-17,-0.13166594841465518
2026-06-16,2026-08-21,0.34175751545852784
2026-06-16,2026-09-18,-0.022106056593175327
2026-06-16,2026-12-18,0.0058117495233514505
2026-06-16,2027-03-19,1.5154717762832235
