TRADE_DT,EXPIRY,EXPIRY_CODE,MODEL,SKEW,SKEW_METHOD
2026-06-01,2026-06-22,2606,QUADRATIC,-0.033968865868064135,DERIVATIVE
2026-06-01,2026-07-17,2607,QUADRATIC,-0.02166532881915953,DERIVATIVE
2026-06-01,2026-08-21,2608,QUADRATIC,-0.08572693912109242,DERIVATIVE
2026-06-01,2026-09-18,2609,QUADRATIC,0.007819616386986805,DERIVATIVE
2026-06-01,2026-12-18,2612,QUADRATIC,-0.004392848057911014,DERIVATIVE
2026-06-01,2027-03-19,2703,QUADRATIC,-0.05404138429199694,DERIVATIVE
2026-06-02,2026-06-22,2606,QUADRATIC,-0.033423055819861824,DERIVATIVE
2026-06-02,2026-07-17,2607,QUADRATIC,-0.049147729178385516,DERIVATIVE
2026-06-02,2026-08-21,2608,QUADRATIC,-0.1431126610535039,DERIVATIVE
2026-06-02,2026-09-18,2609,QUADRATIC,0.006036081559249951,DERIVATIVE
2026-06-02,2026-12-18,2612,QUADRATIC,-0.0076248740449695734,DERIVATIVE
2026-06-02,2027-03-19,2703,QUADRATIC,-0.06388344189658351,DERIVATIVE
2026-06-03,2026-06-22,2606,QUADRATIC,-0.09874936355329123,DERIVATIVE
2026-06-03,2026-07-17,2607,QUADRATIC,-0.11349284409810038,DERIVATIVE
2026-06-03,2026-08-21,2608,QUADRATIC,-0.3119437775081306,DERIVATIVE
2026-06-03,2026-09-18,2609,QUADRATIC,-0.0318998509969437,DERIVATIVE
2026-06-03,2026-12-18,2612,QUADRATIC,-0.01713941145928849,DERIVATIVE
2026-06-03,2027-03-19,2703,QUADRATIC,-0.1065924560376338,DERIVATIVE
2026-06-04,2026-06-22,2606,QUADRATIC,-0.11006135518231108,DERIVATIVE
2026-06-04,2026-07-17,2607,QUADRATIC,-0.12172639911520726,DERIVATIVE
2026-06-04,2026-08-21,2608,QUADRATIC,-0.30410883762598073,DERIVATIVE
2026-06-04,2026-09-18,2609,QUADRATIC,-0.028978258442664107,DERIVATIVE
2026-06-04,2026-12-18,2612,QUADRATIC,-0.017278399889472648,DERIVATIVE
2026-06-04,2027-03-19,2703,QUADRATIC,-0.11950315454098422,DERIVATIVE
2026-06-05,2026-06-22,2606,QUADRATIC,-0.0766342357458294,DERIVATIVE
2026-06-05,2026-07-17,2607,QUADRATIC,-0.11453706822787518,DERIVATIVE
2026-06-05,2026-08-21,2608,QUADRATIC,-0.2929662912851756,DERIVATIVE
2026-06-05,2026-09-18,2609,QUADRATIC,-0.0059988110771780345,DERIVATIVE
2026-06-05,2026-12-18,2612,QUADRATIC,0.0075526022134986825,DERIVATIVE
2026-06-05,2027-03-19,2703,QUADRATIC,-0.11575148711600068,DERIVATIVE
2026-06-08,2026-06-22,2606,QUADRATIC,0.0007653356958294832,DERIVATIVE
2026-06-08,2026-07-17,2607,QUADRATIC,-0.16509181318376354,DERIVATIVE
2026-06-08,2026-08-21,2608,QUADRATIC,-0.20795472493036268,DERIVATIVE
